Task ID,Step,Step Name,Track,Task,Description,Deliverable,Acceptance Criteria,Dependencies,Est. Days,Owner
S1-G,1,Foundation & Guardrails,Milestone Gate,Gate S1 Complete,Marks all tasks in this step as complete,S1 milestone achieved,All tasks in this step meet acceptance criteria,S1-T01,0,PM
S1-T01,1,Foundation & Guardrails,Init,Placeholder,Placeholder task,,,,1,TBD
S2-G,2,Product Skeleton & Branding,Milestone Gate,Gate S2 Complete,Marks all tasks in this step as complete,S2 milestone achieved,All tasks in this step meet acceptance criteria,"S2-T01,S2-T02,S2-T03,S2-T04",0,PM
S2-T01,2,Product Skeleton & Branding,Init,Placeholder,Placeholder task,,,"S1-G,S1-G,S1-G,S1-G",1,TBD
S2-T02,2,Product Skeleton & Branding,Frontend,"Mode picker (Individual, Organization, General)",Add three-tile selector on Ask with brief explanations,Mode picker UI,Keyboard/ARIA pass; selection persists,"S1-G,S1-G,S1-G,S1-G,S1-G",2,TBD
S2-T03,2,Product Skeleton & Branding,Frontend,Network placeholders (Evidence & Findings),Add empty-state Network views with helper copy and controls (time/hops/types),Network placeholder UI,Renders on mobile/desktop; a11y labels ready,"S1-G,S1-G,S1-G,S1-G,S1-G",2,TBD
S2-T04,2,Product Skeleton & Branding,Frontend,Name discovery placeholder ('I don't know the name'),"Signal chips (role, geo, handle, image) and Candidates placeholder screen",Name discovery placeholders,Flow navigates; no backend calls yet,"S1-G,S1-G,S1-G,S1-G,S1-G",2,TBD
S3-G,3,Policy & Consent Core,Milestone Gate,Gate S3 Complete,Marks all tasks in this step as complete,S3 milestone achieved,All tasks in this step meet acceptance criteria,"S3-T01,S3-T02,S3-T03,S3-T04,S3-T05,S3-T06",0,PM
S3-T01,3,Policy & Consent Core,Init,Placeholder,Placeholder task,,,"S2-G,S2-G,S2-G,S2-G",1,TBD
S3-T02,3,Policy & Consent Core,Policy,Policy pack: legal_only (default),Enable legal-only jurisdictional pack; set tenant default; audit which pack is active per case,legal_only pack active,PDP returns legal-only decisions; audit tagged,"S2-G,S2-G,S2-G,S2-G,S2-G",3,TBD
